17-34, Private, School, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, State-gov, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, Masters, Farming-fishing, White, Male,60-79, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Private, Masters, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Female,80+, <=50K,,,,
35-49, Self-emp-not-inc, Masters, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Prof-school, Tech-support, White, Male,40-59, >50K,,,,
17-34, Private, Prof-school, Prof-specialty, White, Male,60-79, <=50K,,,,
17-34, State-gov, Prof-school, Prof-specialty, White, Male,80+, <=50K,,,,
17-34, Private, Prof-school, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Male,20-39, <=50K,,,,
35-49, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Transport-moving, White, Male,20-39, >50K,,,,
50-65, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Farming-fishing, White, Male,60-79, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Local-gov, Some-college, Protective-serv, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Tech-support, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,60-79, >50K,,,,
35-49, Private, Some-college, Exec-managerial, Black, Male,40-59, <=50K,,,,
35-49, Federal-gov, Some-college, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,40-59, <=50K,,,,
65+, Federal-gov, Some-college, Transport-moving, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Tech-support, White, Male,40-59, <=50K,,,,
50-65, Federal-gov, Some-college, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Tech-support, White, Female,20-39, <=50K,,,,
35-49, Local-gov, Some-college, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Tech-support, White, Female,40-59, >50K,,,,
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Male,60-79, >50K,,,,
35-49, Federal-gov, Prof-school, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Some-college, Machine-op-inspct, Black, Male,60-79, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Farming-fishing, White, Male,80+, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Prof-specialty, White, Male,80+, <=50K,,,,
50-65, Federal-gov, Some-college, Adm-clerical, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Transport-moving, White, Male,60-79, >50K,,,,
17-34, Private, Some-college, Other-service, Black, Female,20-39, <=50K,,,,
17-34, Local-gov, Some-college, Prof-specialty, White, Male,20-39, <=50K,,,,
50-65, Federal-gov, Some-college, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Local-gov, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
65+, Private, Some-college, Exec-managerial, White, Male,20-39, <=50K,,,,
17-34, State-gov, Some-college, Protective-serv, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, Black, Female,20-39, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, Black, Female,20-39, <=50K,,,,
17-34, State-gov, Some-college, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,0-19, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Female,20-39, <=50K,,,,
35-49, Private, Some-college, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Federal-gov, Some-college, Exec-managerial, Black, Female,40-59, >50K,,,,
17-34, Private, Some-college, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Male,20-39, <=50K,,,,
65+, Private, School, Prof-specialty, Black, Male,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Male,40-59, >50K,,,,
17-34, Private, School, Other-service, Black, Male,20-39, <=50K,,,,
50-65, Private, School, Craft-repair, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,20-39, <=50K,,,,
35-49, Self-emp-not-inc, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, White, Male,40-59, <=50K,,,,
65+, Private, School, Other-service, White, Female,20-39, <=50K,,,,
65+, Self-emp-not-inc, School, Farming-fishing, White, Male,0-19, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,20-39, <=50K,,,,
17-34, Private, School, Other-service, White, Female,40-59, <=50K,,,,
17-34, Self-emp-not-inc, School, Farming-fishing, White, Male,40-59, <=50K,,,,
65+, Private, School, Machine-op-inspct, Black, Female,40-59, <=50K,,,,
65+, Private, School, Other-service, Black, Female,20-39, <=50K,,,,
50-65, Private, School, Machine-op-inspct, Other, Female,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,20-39, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, Other, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,20-39, <=50K,,,,
35-49, Private, School, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
65+, Private, Assoc-voc, Prof-specialty, White, Female,20-39, <=50K,,,,
17-34, Private, Assoc-voc, Other-service, Black, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, Private, Assoc-voc, Other-service, White, Female,20-39, >50K,,,,
50-65, Federal-gov, Bachelors, Exec-managerial, Black, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, Bachelors, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, Bachelors, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Private, Bachelors, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, State-gov, Bachelors, Adm-clerical, White, Male,40-59, >50K,,,,
35-49, Self-emp-not-inc, Bachelors, Farming-fishing, White, Male,60-79, <=50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Machine-op-inspct, Other, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
65+, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
50-65, Local-gov, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Tech-support, White, Male,80+, >50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Transport-moving, White, Male,20-39, <=50K,,,,
50-65, Private, HS-grad, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Prof-specialty, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Handlers-cleaners, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Federal-gov, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
17-34, Federal-gov, HS-grad, Armed-Forces, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
65+, Self-emp-inc, HS-grad, Sales, Asian-Pac-Islander, Male,20-39, >50K,,,,
35-49, Private, HS-grad, Adm-clerical, Black, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, Black, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, Black, Male,20-39, <=50K,,,,
50-65, Local-gov, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, State-gov, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Federal-gov, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Private, Masters, Sales, White, Male,20-39, <=50K,,,,
35-49, State-gov, Masters, Prof-specialty, White, Male,20-39, <=50K,,,,
50-65, Federal-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Prof-school, Tech-support, Asian-Pac-Islander, Male,40-59, <=50K,,,,
50-65, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, Prof-school, Prof-specialty, White, Male,60-79, >50K,,,,
35-49, Self-emp-not-inc, Prof-school, Prof-specialty, White, Male,60-79, >50K,,,,
35-49, Private, Some-college, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
35-49, Federal-gov, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Transport-moving, White, Male,40-59, <=50K,,,,
50-65, Local-gov, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Male,20-39, <=50K,,,,
35-49, Local-gov, Some-college, Protective-serv, White, Male,60-79, >50K,,,,
17-34, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
35-49, State-gov, Some-college, Protective-serv, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Tech-support, Black, Male,20-39, <=50K,,,,
50-65, Private, Some-college, Adm-clerical, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Private, Some-college, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Male,60-79, <=50K,,,,
17-34, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
17-34, State-gov, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,20-39, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Other-service, White, Female,20-39, <=50K,,,,
17-34, Federal-gov, Some-college, Adm-clerical, White, Female,0-19, <=50K,,,,
35-49, Private, Some-college, Other-service, White, Female,20-39, >50K,,,,
35-49, Private, Some-college, Farming-fishing, White, Female,20-39, <=50K,,,,
17-34, Private, School, Prof-specialty, Other, Female,0-19, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Female,0-19, <=50K,,,,
35-49, Self-emp-not-inc, School, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Priv-house-serv, Other, Female,20-39, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
50-65, Local-gov, School, Transport-moving, White, Male,20-39, <=50K,,,,
35-49, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
65+, Private, School, Protective-serv, White, Female,0-19, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, Black, Female,40-59, <=50K,,,,
17-34, Private, School, Farming-fishing, Other, Male,20-39, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,20-39, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Female,40-59, <=50K,,,,
50-65, Private, School, Exec-managerial, White, Female,40-59, <=50K,,,,
35-49, Private, School, Handlers-cleaners, Asian-Pac-Islander, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Protective-serv, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Local-gov, School, Exec-managerial, White, Male,40-59, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,60-79, >50K,,,,
50-65, Self-emp-not-inc, School, Farming-fishing, White, Male,20-39, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,20-39, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Private, School, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Private, Assoc-voc, Sales, White, Male,40-59, >50K,,,,
17-34, Private, Assoc-voc, Tech-support, White, Female,40-59, <=50K,,,,
35-49, Local-gov, Assoc-voc, Other-service, Black, Female,20-39, <=50K,,,,
50-65, Local-gov, Assoc-voc, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Adm-clerical, Black, Female,40-59, >50K,,,,
35-49, Private, Assoc-voc, Other-service, Black, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K,,,,
35-49, Private, Bachelors, Exec-managerial, Other, Male,40-59, <=50K,,,,
17-34, Private, Bachelors, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Local-gov, Bachelors, Protective-serv, White, Male,40-59, >50K,,,,
35-49, Federal-gov, Bachelors, Sales, White, Male,60-79, <=50K,,,,
65+, Self-emp-not-inc, Bachelors, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Private, Bachelors, Transport-moving, White, Male,80+, >50K,,,,
35-49, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Farming-fishing, Other, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K,,,,
65+, Local-gov, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Male,40-59, <=50K,,,,
65+, Private, HS-grad, Craft-repair, White, Male,0-19, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
65+, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Sales, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Male,20-39, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Sales, White, Male,40-59, >50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
17-34, State-gov, HS-grad, Transport-moving, White, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, HS-grad, Other-service, White, Male,20-39, <=50K,,,,
65+, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
50-65, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,20-39, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Female,20-39, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Local-gov, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
17-34, State-gov, HS-grad, Protective-serv, Asian-Pac-Islander, Male,40-59, <=50K,,,,
65+, Private, HS-grad, Other-service, Black, Female,0-19, <=50K,,,,
50-65, Local-gov, HS-grad, Protective-serv, Black, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, Black, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Transport-moving, Other, Male,40-59, <=50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,20-39, >50K,,,,
65+, Private, Masters, Sales, White, Male,40-59, >50K,,,,
35-49, Private, Masters, Sales, White, Male,40-59, >50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
35-49, Local-gov, Masters, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Male,20-39, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Prof-school, Prof-specialty, Black, Male,40-59, <=50K,,,,
50-65, Private, Prof-school, Prof-specialty, White, Male,60-79, >50K,,,,
35-49, Private, Prof-school, Sales, White, Female,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, Some-college, Exec-managerial, White, Male,80+, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, Some-college, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Machine-op-inspct, White, Male,60-79, <=50K,,,,
50-65, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, State-gov, Some-college, Prof-specialty, White, Male,40-59, <=50K,,,,
17-34, Local-gov, Some-college, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, >50K,,,,
50-65, Federal-gov, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
35-49, Federal-gov, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
65+, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, Some-college, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, State-gov, Some-college, Adm-clerical, White, Female,20-39, <=50K,,,,
17-34, Private, Some-college, Transport-moving, White, Male,20-39, <=50K,,,,
35-49, Private, Some-college, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K,,,,
17-34, State-gov, Some-college, Prof-specialty, White, Female,20-39, <=50K,,,,
17-34, State-gov, Some-college, Adm-clerical, White, Female,0-19, <=50K,,,,
17-34, Private, Some-college, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, Black, Female,20-39, <=50K,,,,
35-49, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Local-gov, Some-college, Adm-clerical, White, Female,40-59, >50K,,,,
50-65, Private, Some-college, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,0-19, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Female,0-19, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Transport-moving, Other, Male,20-39, <=50K,,,,
35-49, Private, School, Machine-op-inspct, Asian-Pac-Islander, Female,40-59, >50K,,,,
35-49, Private, School, Machine-op-inspct, White, Female,20-39, <=50K,,,,
35-49, Local-gov, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,60-79, >50K,,,,
50-65, Private, School, Other-service, White, Male,20-39, <=50K,,,,
17-34, Self-emp-not-inc, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, School, Craft-repair, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, School, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Female,20-39, <=50K,,,,
50-65, Private, School, Other-service, White, Female,80+, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Female,40-59, <=50K,,,,
17-34, Local-gov, School, Craft-repair, Black, Male,40-59, >50K,,,,
50-65, Private, School, Handlers-cleaners, Black, Male,60-79, <=50K,,,,
17-34, Private, School, Craft-repair, Other, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, School, Exec-managerial, White, Male,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Other-service, White, Male,40-59, <=50K,,,,
50-65, Local-gov, School, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
